Lithuania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.05516129032258066,0.38,,,,
1,1801,1.2548387096774194,0.33,,,,
2,1802,0.8948387096774193,0.28,,,,
3,1803,-0.4751612903225807,0.23,,,,
4,1804,-0.31516129032258067,0.17,,,,
5,1805,-1.1051612903225805,0.12,,,,
6,1806,0.6848387096774193,0.07,,,,
7,1807,1.0448387096774194,0.01,,,,
8,1808,-0.1051612903225807,-0.05,,,,
9,1809,-0.5351612903225808,-0.1,,,,
10,1810,-0.28516129032258075,-0.13,,,,
11,1811,0.9948387096774193,-0.14,,,,
12,1812,-1.1851612903225806,-0.13,,,,
13,1813,0.12483870967741928,-0.11,,,,
14,1814,-0.8451612903225808,-0.09,,,,
15,1815,-0.6351612903225806,-0.05,,,,
16,1816,-0.43516129032258066,0.01,,,,
17,1817,0.31483870967741934,0.1,,,,
18,1818,0.3948387096774193,0.19,,,,
19,1819,0.7348387096774193,0.29,,,,
20,1820,-0.31516129032258067,0.39,,,,
21,1821,0.5748387096774193,0.48,,,,
22,1822,1.7648387096774192,0.53,,,,
23,1823,0.23483870967741932,0.55,,,,
24,1824,1.5048387096774194,0.53,,,,
25,1825,0.6248387096774193,0.49,,,,
26,1826,1.1448387096774193,0.46,,,,
27,1827,0.9248387096774193,0.43,,,,
28,1828,-0.30516129032258066,0.4,,,,
29,1829,-2.0451612903225804,0.36,,,,
30,1830,-0.26516129032258073,0.3,,,,
31,1831,0.30483870967741933,0.22,,,,
32,1832,-0.7751612903225807,0.13,,,,
33,1833,0.6448387096774193,0.06,,,,
34,1834,1.4648387096774194,0.0,,,,
35,1835,0.09483870967741931,-0.02,,,,
36,1836,0.4748387096774193,-0.03,,,,
37,1837,-0.15516129032258075,-0.03,,,,
38,1838,-1.3551612903225805,-0.05,,,,
39,1839,-0.3451612903225807,-0.08,,,,
40,1840,-0.9151612903225806,-0.11,,,,
41,1841,0.5348387096774193,-0.13,,,,
42,1842,-0.16516129032258065,-0.15,,,,
43,1843,1.0248387096774194,-0.15,,,,
44,1844,-1.0951612903225807,-0.12,,,,
45,1845,-0.7551612903225807,-0.09,,,,
46,1846,0.7248387096774194,-0.05,,,,
47,1847,-0.2251612903225807,-0.03,,,,
48,1848,0.6048387096774193,-0.02,,,,
49,1849,-0.6051612903225806,-0.03,,,,
50,1850,-0.08516129032258068,-0.03,,,,
51,1851,0.5948387096774193,-0.02,,,,
52,1852,0.03483870967741931,0.01,,,,
53,1853,-0.14516129032258074,0.04,,,,
54,1854,0.3248387096774193,0.06,,,,
55,1855,-1.0951612903225807,0.07,,,,
56,1856,-0.42516129032258065,0.07,,,,
57,1857,0.6448387096774193,0.07,,,,
58,1858,0.12483870967741928,0.07,,,,
59,1859,1.3248387096774192,0.06,,,,
60,1860,0.10483870967741932,0.06,,,,
61,1861,0.1548387096774193,0.08,,,,
62,1862,-1.4651612903225808,0.09,,,,
63,1863,1.6048387096774195,0.08,,,,
64,1864,-0.8851612903225806,0.06,,,,
65,1865,-0.24516129032258072,0.04,,,,
66,1866,0.9248387096774193,0.03,,,,
67,1867,-1.2851612903225806,0.02,,,,
68,1868,0.9948387096774193,0.02,,,,
69,1869,0.7948387096774193,0.01,,,,
70,1870,-1.2351612903225808,0.0,,,,
71,1871,-1.6651612903225805,-0.01,,,,
72,1872,1.5548387096774192,-0.03,,,,
73,1873,0.9248387096774193,-0.04,,,,
74,1874,0.3848387096774193,-0.05,,,,
75,1875,-1.6351612903225807,-0.05,,,,
76,1876,-0.5851612903225808,-0.05,,,,
77,1877,-0.4551612903225807,-0.03,,,,
78,1878,1.0448387096774194,-0.01,,,,
79,1879,-0.4751612903225807,0.02,,,,
80,1880,0.1448387096774193,0.03,,,,
81,1881,-1.0151612903225806,0.04,,,,
82,1882,1.2648387096774192,0.06,,,,
83,1883,0.1448387096774193,0.09,,,,
84,1884,0.5548387096774193,0.12,,,,
85,1885,0.23483870967741932,0.13,,,,
86,1886,0.12483870967741928,0.13,,,,
87,1887,0.3248387096774193,0.12,,,,
88,1888,-1.3751612903225805,0.12,,,,
89,1889,0.09483870967741931,0.12,,,,
90,1890,0.7648387096774193,0.13,,,,
91,1891,0.4448387096774193,0.16,,,,
92,1892,-0.44516129032258067,0.19,,,,
93,1893,-0.8551612903225806,0.24,,,,
